FILE_ID	SENTENCE	GENE	PHENOTYPE	GENE_ID	PHENOTYPE_ID	GENE_START_POSITION	GENE_END_POSITION	PHENOTYPE_START_POSITION	PHENOTYPE_END_POSITION	TYPE
24357125	Likely haploinsufficiency of one or several of the 19 genes in the common deleted interval (ACTN1, DCAF5, EXD2, GALNTL1, ERH, SLC39A9, PLEKHD1, CCDC177, KIAA0247, LOC100289511, SRSF5, SLC10A1, SMOC1, SLC8A3, ADAM21P1, COX16, SYNJ2BP, SYNJ2BP-COX16, ADAM21) was responsible for these manifestations, but apart from SMOC1, mutations in which cause autosomal recessive Waardenburg anophthalmia syndrome, and ACTN1, mutations in which are associated with congenital macrothrombocytopenia, no disease associations have so far been reported for the other genes.	SLC8A3	macrothrombocytopenia	6547	HP_0040185	200	206	462	483	F
24898506	These include other keratin genes for monilethrix, the HR gene for atrichia congenita, the genes CDSN, APCDD1 and SNRPE for the autosomal dominant form of hypotrichosis simplex, and the genes DSG4, LIPH and LPAR6 for the autosomal recessive forms of hypotrichosis as well as U2HR for hypotrichosis type Marie Unna.	APCDD1	autosomal recessive	147495	HP_0000007	103	109	221	240	F
26399219	Prior studies that explored the hypothesis that EMT gene variants contribute to epithelial ovarian carcinoma (EOC) risk have been based on small sample sizes and none have sought replication in an independent population.	EMT	ovarian carcinoma	3702	HP_0025318	48	51	91	108	N
29538454	Here, we identify tumor-associated calcium signal transducer 2 (TACSTD2), one of the most downregulated genes in primary HCC tissue, as a host factor that interacts with CLDN1 and OCLN and regulates their cellular localization.	CLDN1	tumor	9076	HP_0002664	170	175	18	23	F
26683626	While control subjects with high PGC-1α expression exhibited high PV and Nefh expression, schizophrenia subjects with high PGC-1α expression did not, suggesting dissociation between PGC-1α expression and these targets in schizophrenia.	Nefh	schizophrenia	4744	HP_0100753	73	77	90	103	N
16960806	To date, CRYBA4 was the only gene in this cluster not associated with either human or murine cataracts.	CRYBA4	cataract	1413	HP_0000518	9	15	93	101	N
27693232	Although overlapping features with Bohring-Opitz and Bainbridge-Ropers syndromes exist, features that distinguish the ASXL2-associated condition from ASXL1- and ASXL3-related disorders are macrocephaly, absence of growth retardation, and more variability in the degree of intellectual disabilities.	ASXL3	macrocephaly	80816	HP_0000256	161	166	189	201	F
22744456	MESP2, HES7 and DUSP6 genes may not be involved in the etiopathogenesis of sporadic and non-syndromic CS in Chinese Han population	HES7	sporadic	84667	HP_0003745	7	11	75	83	N
29307790	The aCGH analysis revealed a pathogenic CNV in the 14q11.2 region, while targeted exome sequencing revealed pathogenic variants in genes associated with intellectual disability (HUWE1, GRIN1), including a gene coding for mandibulofacial dysostosis with microcephaly (EFTUD2).	GRIN1	mandibulofacial dysostosis	114787	HP_0005321	185	190	221	247	F
27827380	While examining pedigrees of JEB patients with LAMA3 mutations, we observed that heterozygous carriers of functional null mutations displayed subtle enamel pitting in the absence of skin fragility or other JEB symptoms.	LAMA3	skin fragility	3910	HP_0001030	47	52	182	196	F
23086420	Several myotubularins have been genetically linked to human diseases: MTM1 is mutated in the congenital myopathy X-linked centronuclear or myotubular myopathy (XLCNM) and MTMR14 (JUMPY) has been linked to an autosomal form of such disease, while MTMR2 and MTMR13 are mutated in Charcot-Marie-Tooth (CMT) neuropathies.	MTMR2	myopathy	8898	HP_0003198	246	251	104	112	F
24357125	Likely haploinsufficiency of one or several of the 19 genes in the common deleted interval (ACTN1, DCAF5, EXD2, GALNTL1, ERH, SLC39A9, PLEKHD1, CCDC177, KIAA0247, LOC100289511, SRSF5, SLC10A1, SMOC1, SLC8A3, ADAM21P1, COX16, SYNJ2BP, SYNJ2BP-COX16, ADAM21) was responsible for these manifestations, but apart from SMOC1, mutations in which cause autosomal recessive Waardenburg anophthalmia syndrome, and ACTN1, mutations in which are associated with congenital macrothrombocytopenia, no disease associations have so far been reported for the other genes.	ERH	macrothrombocytopenia	2079	HP_0040185	121	124	462	483	F
23086420	Several myotubularins have been genetically linked to human diseases: MTM1 is mutated in the congenital myopathy X-linked centronuclear or myotubular myopathy (XLCNM) and MTMR14 (JUMPY) has been linked to an autosomal form of such disease, while MTMR2 and MTMR13 are mutated in Charcot-Marie-Tooth (CMT) neuropathies.	MTMR13	myopathy	81846	HP_0003198	256	262	104	112	F
26944031	Mosaicism was identified for autosomal dominant (JAG1, COL3A1), autosomal recessive (PYGM), and X-linked (PHKA2, PDHA1, OTC, and SLC6A8) disorders.	OTC	autosomal recessive	5009	HP_0000007	120	123	64	83	F
24888247	In conclusion, CPS1 4217C&gt;A polymorphism may not be associated with the development of hyperammonemia in Japanese population	CPS1	hyperammonemia	1589	HP_0001987	15	19	90	104	N
26211651	In addition, polymorphisms in apoptosis-related genes such as RNF7, TULP1, and MERTK are associated with fibrosis progression, and DEPDC5 and MICA variants are associated with HCV-related hepatocellular carcinoma.	RNF7	hepatocellular carcinoma	9616	HP_0001402	62	66	188	212	F
27193597	Mining GWAS databases revealed association of cis-eSNPs for more than 50 genes with T2D (e.g. PIK3C2A, RBMS1, UFSP1), gluco-metabolic phenotypes (e.g. INPP5E, SNX17, ERAP2, FN3KRP), and obesity (e.g. POMC, CPEB4).	UFSP1	obesity	402682	HP_0001513	110	115	186	193	F
28944914	The present findings did not identify copy number variation and mutations in EDA; therefore, excluding the possibility of EDA‑initiated ectodermal dysplasia syndrome.	EDA	ectodermal dysplasia	1896	HP_0000968	77	80	136	156	N
